Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"OA","Séries temporelles annuelles","531","Curaçao","551","Population rurale","3010","Population-Estimations","2023","2023","1000 No","18.266","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","531","Curaçao","561","Population urbaine","3010","Population-Estimations","2023","2023","1000 No","148.134","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","208","Danemark","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","5948.136","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","208","Danemark","551","Population rurale","3010","Population-Estimations","2023","2023","1000 No","674.86","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","208","Danemark","561","Population urbaine","3010","Population-Estimations","2023","2023","1000 No","5191.155","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","262","Djibouti","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","1152.944","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","262","Djibouti","551","Population rurale","3010","Population-Estimations","2023","2023","1000 No","223.462","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","262","Djibouti","561","Population urbaine","3010","Population-Estimations","2023","2023","1000 No","818.418","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","212","Dominique","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","66.51","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","212","Dominique","551","Population rurale","3010","Population-Estimations","2023","2023","1000 No","21.295","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","212","Dominique","561","Population urbaine","3010","Population-Estimations","2023","2023","1000 No","54.775","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","818","Égypte","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","114535.772","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","818","Égypte","551","Population rurale","3010","Population-Estimations","2023","2023","1000 No","61519.029","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","818","Égypte","561","Population urbaine","3010","Population-Estimations","2023","2023","1000 No","46597.953","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","222","El Salvador","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","6309.624","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","222","El Salvador","551","Population rurale","3010","Population-Estimations","2023","2023","1000 No","1618.517","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","222","El Salvador","561","Population urbaine","3010","Population-Estimations","2023","2023","1000 No","4959.044","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","784","Émirats arabes unis","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","10642.081","X","Chiffre de source externe",""
"OA","Séries temporelles annuelles","784","Émirats arabes unis","551","Population rurale","3010","Population-Estimations","2023","2023","1000 No","1244.904","X","Chiffre de source externe",""
